age,sea_level
0.069,1.054
0.222,0.752
0.324,0.557
0.477,0.297
0.579,0.155
0.732,-0.007
0.808,-0.064
0.833,-0.079
0.986,-0.120
1.079,-0.101
1.088,-0.097
1.171,-0.044
1.216,-0.002
1.241,0.026
1.262,0.052
1.343,0.168
1.354,0.186
1.420,0.302
1.446,0.353
1.537,0.542
1.598,0.670
1.629,0.733
1.700,0.867
1.720,0.901
1.812,1.014
1.853,1.040
1.904,1.047
1.955,1.025
1.995,0.985
2.087,0.828
2.108,0.781
2.178,0.591
2.210,0.496
2.270,0.297
2.362,-0.027
2.362,-0.030
2.439,-0.305
2.453,-0.356
2.464,-0.395
2.545,-0.669
2.617,-0.893
2.636,-0.949
2.719,-1.161
2.728,-1.181
2.820,-1.356
2.872,-1.427
2.911,-1.466
2.974,-1.506
3.003,-1.515
3.095,-1.514
3.127,-1.506
3.186,-1.487
3.229,-1.474
3.278,-1.465
3.369,-1.482
3.382,-1.490
3.458,-1.570
3.461,-1.574
3.484,-1.612
3.553,-1.769
3.637,-2.056
3.694,-2.312
3.739,-2.544
3.836,-3.133
3.892,-3.512
3.977,-4.124
3.993,-4.241
4.119,-5.130
4.146,-5.318
4.248,-5.975
4.260,-6.049
4.401,-6.869
4.402,-6.873
4.478,-7.292
4.503,-7.431
4.543,-7.648
4.656,-8.244
4.685,-8.391
4.758,-8.740
4.827,-9.026
4.911,-9.293
4.968,-9.408
5.013,-9.454
5.166,-9.321
5.251,-9.077
5.268,-9.019
5.393,-8.510
5.421,-8.385
5.497,-8.034
5.523,-7.916
5.534,-7.862
5.675,-7.223
5.676,-7.221
5.777,-6.792
5.817,-6.634
5.930,-6.235
5.959,-6.147
6.032,-5.953
6.100,-5.818
6.185,-5.716
6.242,-5.690
6.287,-5.695
6.384,-5.782
6.440,-5.882
6.516,-6.085
6.525,-6.113
6.571,-6.285
6.667,-6.763
6.768,-7.497
6.808,-7.854
6.948,-9.396
6.950,-9.420
7.050,-10.714
7.150,-12.017
7.217,-12.827
7.250,-13.197
7.350,-14.163
7.379,-14.394
7.412,-14.638
7.473,-15.023
7.535,-15.330
7.544,-15.370
7.597,-15.570
7.655,-15.749
7.658,-15.759
7.720,-15.909
7.782,-16.035
7.821,-16.108
7.843,-16.148
7.904,-16.256
7.905,-16.258
7.931,-16.306
7.967,-16.373
8.028,-16.500
8.090,-16.644
8.097,-16.662
8.152,-16.810
8.208,-16.982
8.213,-17.001
8.275,-17.219
8.337,-17.463
8.374,-17.623
8.398,-17.734
8.460,-18.028
8.484,-18.148
8.522,-18.339
8.583,-18.662
8.645,-18.989
8.650,-19.015
8.851,-20.018
9.070,-20.978
9.631,-30.142
9.926,-34.826
10.050,-35.680
10.509,-34.043
10.850,-33.854
10.910,-34.288
11.650,-58.710
12.450,-75.398
13.154,-73.656
13.857,-75.009
17.450,-87.070
23.085,-115.740
26.055,-99.387
26.969,-101.976
27.273,-101.624
27.575,-102.350
27.876,-103.577
28.177,-104.070
28.476,-103.819
28.775,-103.930
29.073,-104.967
29.369,-105.522
29.665,-103.796
29.960,-100.357
30.195,-97.933
30.253,-97.440
30.413,-96.225
30.468,-95.829
30.546,-95.246
30.710,-93.875
30.741,-93.583
30.832,-92.653
30.955,-91.287
30.959,-91.243
31.077,-89.862
31.173,-88.768
31.242,-88.026
31.268,-87.760
31.363,-86.873
31.458,-86.125
31.552,-85.512
31.646,-85.016
31.657,-84.964
31.739,-84.616
31.832,-84.291
31.925,-84.030
32.017,-83.830
32.109,-83.697
32.200,-83.639
32.280,-83.656
32.291,-83.664
32.382,-83.772
32.472,-83.956
32.561,-84.196
32.651,-84.463
32.739,-84.724
32.794,-84.866
32.828,-84.944
33.003,-85.154
33.090,-85.129
33.262,-84.909
33.347,-84.778
33.433,-84.671
33.517,-84.612
33.564,-84.606
33.601,-84.618
33.685,-84.699
33.768,-84.862
33.851,-85.108
33.934,-85.429
34.078,-86.116
34.097,-86.212
34.178,-86.616
34.206,-86.750
34.338,-87.266
34.418,-87.447
34.497,-87.498
34.576,-87.404
34.654,-87.160
34.732,-86.769
34.809,-86.246
34.939,-85.114
35.063,-83.838
35.317,-81.175
35.568,-78.818
35.819,-76.575
36.067,-74.656
36.315,-73.479
36.561,-72.746
36.640,-72.521
36.806,-72.108
37.049,-72.313
37.291,-74.726
37.531,-79.220
37.770,-83.946
38.008,-87.089
38.245,-87.743
38.480,-86.317
38.714,-84.415
38.946,-83.419
39.178,-83.362
39.192,-83.375
39.408,-83.601
39.637,-83.637
39.865,-83.325
40.091,-82.872
40.317,-82.619
40.541,-82.572
40.764,-82.216
40.865,-81.829
40.986,-81.192
41.208,-80.014
41.428,-79.898
41.647,-81.326
41.865,-83.228
42.082,-84.304
42.298,-84.049
42.513,-82.583
42.727,-80.520
42.941,-79.018
43.154,-78.973
43.366,-80.086
43.375,-80.147
43.577,-81.237
43.787,-81.472
43.997,-80.792
44.132,-80.192
44.206,-79.878
44.414,-79.092
44.622,-78.241
44.829,-77.155
45.036,-76.143
45.242,-75.626
45.266,-75.606
45.447,-75.688
45.653,-76.023
45.858,-76.104
46.023,-75.783
46.062,-75.668
46.266,-75.142
46.470,-75.591
46.673,-77.763
46.877,-80.916
47.080,-83.678
47.157,-84.479
47.283,-85.498
47.486,-86.612
47.689,-87.512
47.892,-88.395
47.913,-88.474
48.095,-88.815
48.298,-88.135
48.405,-87.298
48.568,-85.621
48.616,-85.078
48.731,-83.775
48.894,-82.019
48.937,-81.594
49.058,-80.495
49.222,-79.298
49.386,-78.481
49.418,-78.362
49.550,-77.986
49.715,-77.629
49.739,-77.575
49.881,-77.180
50.047,-76.486
50.213,-75.559
50.221,-75.513
50.380,-74.528
50.541,-73.591
50.547,-73.560
50.622,-73.193
50.884,-72.349
51.023,-72.147
51.054,-72.111
51.224,-71.883
51.305,-71.717
51.395,-71.467
51.567,-70.768
51.729,-69.830
51.740,-69.755
51.914,-68.358
52.005,-67.441
52.089,-66.479
52.265,-64.177
52.419,-62.138
52.442,-61.862
52.620,-60.284
52.708,-60.043
52.830,-60.471
53.042,-63.152
53.193,-65.782
53.255,-66.823
53.469,-69.676
53.516,-70.119
53.597,-70.747
53.685,-71.262
53.903,-72.008
54.001,-72.207
54.123,-72.415
54.324,-72.777
54.344,-72.820
54.568,-73.368
54.793,-73.832
54.890,-73.893
54.891,-73.893
55.020,-73.804
55.051,-73.756
55.249,-73.364
55.480,-73.250
55.536,-73.354
55.538,-73.357
55.714,-74.031
55.949,-75.403
56.183,-76.572
56.184,-76.576
56.187,-76.587
56.428,-76.662
56.670,-74.726
56.830,-72.439
56.831,-72.423
56.915,-71.036
57.163,-67.221
57.413,-64.787
57.476,-64.396
57.477,-64.389
57.666,-63.435
57.922,-62.439
58.095,-62.278
58.096,-62.279
58.181,-62.453
58.443,-63.990
58.567,-65.056
58.568,-65.066
58.707,-66.276
58.974,-67.978
59.039,-68.186
59.040,-68.189
59.245,-68.259
59.511,-67.242
59.512,-67.236
59.519,-67.200
59.796,-65.934
60.076,-66.267
60.101,-66.389
60.102,-66.395
60.360,-68.129
60.455,-68.846
60.456,-68.855
60.573,-69.724
60.647,-70.265
60.927,-72.366
60.928,-72.374
60.938,-72.452
61.232,-75.113
61.399,-77.033
61.400,-77.047
61.530,-78.939
61.832,-84.472
61.940,-86.361
61.940,-86.376
62.102,-88.698
62.254,-90.356
62.396,-91.735
62.397,-91.743
62.405,-91.818
62.556,-93.337
62.708,-94.912
62.859,-96.323
62.967,-97.107
62.968,-97.112
62.969,-97.118
63.011,-97.358
63.162,-97.974
63.314,-98.278
63.424,-98.404
63.425,-98.405
63.465,-98.446
63.617,-98.638
63.768,-98.946
63.881,-99.249
63.882,-99.252
63.919,-99.359
64.071,-99.769
64.222,-100.018
64.338,-100.024
64.339,-100.023
64.374,-99.991
64.525,-99.700
64.677,-99.285
64.795,-98.980
64.796,-98.978
64.828,-98.904
64.980,-98.615
65.131,-98.333
65.251,-98.001
65.252,-97.998
65.253,-97.995
65.282,-97.888
65.434,-97.113
65.585,-95.944
65.708,-94.785
65.737,-94.509
65.888,-93.114
66.040,-92.033
66.165,-91.436
66.166,-91.432
66.191,-91.341
66.343,-90.938
66.494,-90.717
66.622,-90.665
66.623,-90.665
66.645,-90.673
66.797,-90.921
66.948,-91.616
67.079,-92.631
67.080,-92.640
67.536,-96.934
67.537,-96.939
67.537,-96.944
67.992,-96.856
67.993,-96.852
68.335,-94.331
68.336,-94.322
68.906,-87.311
68.907,-87.301
69.081,-85.622
69.476,-82.798
69.477,-82.794
69.929,-81.612
69.930,-81.611
70.080,-81.373
70.919,-74.029
70.920,-74.013
71.748,-60.575
72.037,-62.036
72.038,-62.046
73.155,-63.267
73.156,-63.270
74.049,-71.014
74.273,-71.125
74.275,-71.124
75.670,-61.225
75.950,-57.080
75.952,-57.051
76.350,-49.762
77.068,-53.101
77.070,-53.111
78.186,-51.825
78.188,-51.831
79.035,-59.023
79.304,-56.989
79.305,-56.982
79.716,-54.734
79.717,-54.731
80.266,-53.917
80.266,-53.915
80.267,-53.913
80.815,-50.110
80.816,-50.100
81.364,-43.217
81.365,-43.210
81.914,-42.280
81.915,-42.281
82.463,-41.800
82.464,-41.797
83.013,-39.738
83.013,-39.736
83.014,-39.734
83.506,-38.381
83.631,-37.783
83.632,-37.779
84.249,-35.998
84.250,-36.002
84.386,-36.794
84.730,-38.227
84.867,-37.990
84.936,-37.707
85.004,-37.349
85.240,-36.043
85.554,-37.341
86.103,-55.251
86.378,-61.072
86.790,-66.305
87.064,-68.833
87.265,-70.559
87.477,-71.777
87.683,-72.016
88.057,-71.635
88.122,-71.667
88.779,-69.721
89.042,-65.981
89.436,-59.655
89.699,-56.983
89.823,-56.115
90.094,-54.484
90.291,-53.461
90.356,-53.189
90.751,-52.501
91.014,-52.556
91.149,-52.671
91.408,-53.079
91.671,-53.791
92.065,-55.135
92.328,-55.311
92.722,-54.481
92.919,-53.873
92.985,-53.667
93.379,-52.560
93.569,-52.256
93.642,-52.207
94.036,-52.381
94.299,-52.155
94.694,-50.289
94.956,-48.105
95.351,-45.490
95.548,-45.359
95.614,-45.511
95.978,-47.093
96.008,-47.193
96.271,-47.408
96.665,-45.843
96.928,-44.254
97.322,-42.079
97.585,-41.164
97.942,-40.501
97.979,-40.421
98.176,-39.928
98.242,-39.759
98.636,-39.114
98.899,-38.950
99.293,-38.676
99.556,-38.188
99.951,-37.133
100.117,-36.712
100.213,-36.491
100.608,-35.079
100.805,-33.593
100.982,-31.918
102.043,-35.923
102.751,-16.443
103.812,-33.986
104.520,-22.710
105.377,-40.117
105.459,-39.388
105.740,-36.397
106.163,-33.889
106.374,-32.598
106.444,-32.027
106.867,-27.699
107.148,-26.117
107.464,-25.309
107.570,-24.775
107.852,-23.762
108.274,-31.060
108.556,-39.271
108.978,-47.812
109.189,-50.343
109.260,-51.142
109.548,-54.276
109.682,-55.378
109.982,-55.989
110.433,-51.068
110.778,-44.490
111.251,-41.626
111.295,-41.453
111.640,-39.736
112.157,-40.007
112.416,-39.567
112.502,-39.378
112.520,-39.339
113.019,-37.158
113.364,-34.675
113.365,-34.672
113.882,-36.102
114.226,-36.223
114.744,-35.679
115.089,-33.572
115.175,-33.405
115.606,-34.218
115.865,-34.283
115.951,-34.267
116.111,-34.250
116.468,-33.260
116.813,-30.354
117.330,-28.508
117.675,-27.560
118.192,-29.002
118.433,-28.867
118.537,-28.451
119.054,-23.796
119.313,-21.462
119.399,-20.874
119.917,-17.787
120.262,-14.683
120.523,-12.876
120.779,-11.080
121.124,-9.305
121.641,-13.991
121.972,-14.119
121.986,-14.084
122.503,-11.820
122.504,-11.814
122.676,-10.684
122.762,-10.123
122.848,-9.590
123.020,-8.627
123.193,-7.694
123.365,-6.592
123.366,-6.585
123.420,-6.187
123.538,-5.267
123.710,-4.020
123.783,-3.620
123.883,-3.262
124.055,-3.176
124.145,-3.343
124.227,-3.578
124.228,-3.581
124.326,-3.923
124.507,-4.632
124.572,-4.894
124.745,-5.563
124.869,-5.946
125.090,-6.074
125.231,-5.545
125.594,-2.479
125.952,-1.066
125.956,-1.066
126.318,-1.705
126.680,-0.988
127.042,2.997
127.405,7.512
127.767,10.036
127.948,10.132
128.129,9.194
128.491,4.559
128.853,2.023
129.216,4.069
129.578,2.006
129.940,-3.717
130.121,-5.693
130.262,-7.074
130.302,-7.506
130.664,-13.337
131.027,-17.581
131.091,-17.700
131.249,-17.581
131.389,-17.347
131.407,-17.327
131.565,-17.382
131.724,-18.076
131.882,-19.670
131.883,-19.684
131.906,-20.011
132.040,-22.506
132.113,-24.367
132.198,-27.063
132.629,-46.609
132.672,-48.322
132.909,-54.914
132.988,-56.271
133.058,-57.273
133.463,-62.167
133.488,-62.485
133.779,-66.349
133.917,-68.196
134.132,-70.889
134.253,-72.231
134.346,-73.162
134.570,-75.045
134.776,-76.296
135.044,-76.871
135.205,-76.452
135.635,-74.205
135.835,-74.008
136.092,-74.488
136.104,-74.519
136.807,-76.249
137.027,-76.748
137.523,-77.270
138.238,-78.401
138.344,-77.279
138.954,-68.960
139.311,-73.074
139.661,-71.485
139.669,-71.370
140.385,-66.300
140.510,-70.037
140.760,-79.120
140.885,-83.506
140.978,-86.402
141.260,-92.638
141.323,-93.547
141.385,-94.307
141.502,-95.454
141.589,-96.119
141.831,-97.361
142.553,-94.874
142.723,-94.460
143.275,-93.965
143.543,-94.217
143.997,-94.113
144.259,-93.620
144.286,-93.498
144.719,-88.856
144.975,-85.711
145.441,-85.756
145.730,-86.961
145.793,-87.152
146.164,-87.667
146.609,-87.533
146.886,-88.064
147.102,-88.447
147.175,-88.538
147.319,-88.683
147.464,-88.834
147.608,-89.029
147.609,-89.030
147.627,-89.058
147.752,-89.259
147.897,-89.460
148.135,-89.490
148.186,-89.440
148.330,-89.260
148.475,-89.143
148.619,-89.185
148.845,-89.477
148.908,-89.573
149.052,-89.794
149.053,-89.796
149.197,-90.040
149.341,-90.343
149.413,-90.522
149.630,-91.141
149.775,-91.556
150.160,-92.437
150.497,-93.724
151.066,-96.686
151.219,-97.307
151.769,-98.190
151.921,-97.148
152.463,-90.271
152.625,-89.229
153.004,-88.432